,CORE_CUSTOMER_ID,STORE,STORE_CITY,STORE_ZIP,NUM_SHOP,MSRNAME,USER_NAME,USER_PREFERRED_STORE,USER_CLOSEST_STORE,USER_POSTAL
0,114442405,7004.0,Phoenix,85001.0,1.0,harry h Johnson,harry johnson,7004.0,7004.0,
1,114144081,7013.0,Baton,70802.0,8.0,SHEELAH UTLEY,,,,
2,115912507,7024.0,Cheyenne,82001.0,2.0,lashundra burrows,,,,
3,117607770,7063.0,Olympia,98507.0,,CARMEL J VIGIL,,,,
4,116012449,7088.0,Bismarck,58501.0,15.0,DONISHA MAYORGA,,,,
5,115729539,7038.0,Columbus,43215.0,2.0,sirena huff,,,,
6,110106528,7037.0,Lansing,48933.0,,kartik beavers,,,,
7,117247756,7068.0,Topeka,66603.0,9.0,,,,7068.0,
8,111563427,7041.0,Helena,59623.0,9.0,ANAIZ I HYATT,,,,
9,119178058,7015.0,Des Moines,50309.0,13.0,yolonda miguel,,,,
10,115490656,7076.0,Salt Lake City,84111.0,10.0,daviel e raney,,,,
11,113900097,7007.0,Concord,3301.0,,carola jax leone,carola leone,7007.0,,
12,116997865,7092.0,Columbia,29217.0,12.0,,aletha laporte,,,
13,119409139,7049.0,Tallahassee,32301.0,,CHASE VISA CARDHOLDER,,,,
14,116496233,7032.0,Nashville,37219.0,12.0,japheth easterling,,,,
15,116514089,7046.0,Boston,2201.0,,arland boudreau,,7046.0,,
16,115932006,7067.0,Lincoln,68502.0,,roxy blackwood,,,,
17,111488055,7050.0,Salem,97301.0,,laquista     lindberg,,,,
18,114279877,7001.0,Albany,12207.0,,GRACEANN SALDANA,,,,
19,117921437,7068.0,Topeka,66603.0,8.0,AKIL R MENENDEZ,,,,
20,118086876,7055.0,Juneau,99801.0,,,,,,
21,115653320,7082.0,Oklahoma,73102.0,,CHEA L WILT,chea wilt,7082.0,,
22,113343651,7004.0,Phoenix,85001.0,8.0,oran camara,,7004.0,,
23,117786504,7032.0,Nashville,37219.0,4.0,genia jeffrey,,7032.0,,
24,119644668,7060.0,Jackson,39205.0,5.0,stafford arguello,,,,
25,113643494,7015.0,Des Moines,50309.0,,eliah mosher,eliah mosher,,,
26,110155469,7012.0,Trenton,8608.0,5.0,deeann e irons,,,,
27,114029729,7062.0,Santa,87501.0,4.0,lorrin lundberg,,,,
